 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
      59  4.62500000E+02  3.75000000E+01  5.23048454E-01  4.65318382E-01  9.88366836E-01  2.50000000E-02 -2.32475592E-13 -1.01188889E-12 
      60  4.87500000E+02  3.75000000E+01  8.70015014E-01  1.18351822E-01  9.88366836E-01  2.50000000E-02  3.42263063E-12 -4.02504589E-12 
      61  5.12500000E+02  3.75000000E+01  6.95774785E-02  9.18789357E-01  9.88366836E-01  2.50000000E-02  1.87018541E-12 -1.04544749E-12 
      62  5.37500000E+02  3.75000000E+01 -2.62874281E-01  1.25124112E+00  9.88366836E-01  2.50000000E-02  1.79019716E-12  5.11445747E-13 
      63  5.62500000E+02  3.75000000E+01  2.57640648E-02  9.62602771E-01  9.88366836E-01  2.50000000E-02  2.51577403E-12  8.68618510E-13 
      64  5.87500000E+02  3.75000000E+01  5.75245284E-01  4.13121552E-01  9.88366836E-01  2.50000000E-02  4.48169250E-12  8.84420004E-13 
      65  6.12500000E+02  3.75000000E+01 -6.05455565E-01  1.59382240E+00  9.88366836E-01  2.50000000E-02  2.43719874E-12 -4.17541615E-13 
      66  6.37500000E+02  3.75000000E+01 -6.78783371E-01  1.66715021E+00  9.88366836E-01  2.50000000E-02  2.31441385E-12 -8.55185313E-13 
      67  6.62500000E+02  3.75000000E+01 -9.13459003E-01  1.90182584E+00  9.88366836E-01  2.50000000E-02  2.27902067E-12 -1.55233813E-12 
      68  6.87500000E+02  3.75000000E+01 -6.50455217E-01  1.63882205E+00  9.88366836E-01  2.50000000E-02  2.42462352E-12 -1.12107994E-12 
      69  7.12500000E+02  3.75000000E+01  2.69543656E-01  7.18823180E-01  9.88366836E-01  2.50000000E-02  3.08013721E-12 -2.26211494E-13 
      70  7.37500000E+02  3.75000000E+01 -3.48170109E-01  1.33653695E+00  9.88366836E-01  2.50000000E-02  1.90220429E-12  7.48293439E-13 
      71  7.62500000E+02  3.75000000E+01 -8.77683744E-01  1.86605058E+00  9.88366836E-01  2.50000000E-02  1.37720365E-12  1.43369315E-13 
      72  7.87500000E+02  3.75000000E+01 -6.64986548E-01  1.65335338E+00  9.88366836E-01  2.50000000E-02  1.18888622E-12  8.85890251E-14 
      73  8.12500000E+02  3.75000000E+01 -8.83911452E-01  1.87227829E+00  9.88366836E-01  2.50000000E-02  1.14102499E-12  1.12885223E-13 
      74  8.37500000E+02  3.75000000E+01 -4.05378689E-01  1.39374552E+00  9.88366836E-01  2.50000000E-02  1.08985093E-12  6.23190154E-13 
      75  8.62500000E+02  3.75000000E+01 -9.46473242E-01  1.93484008E+00  9.88366836E-01  2.50000000E-02  9.36298095E-13  2.38660225E-13 
      76  8.87500000E+02  3.75000000E+01 -4.51688796E-02  1.03353572E+00  9.88366836E-01  2.50000000E-02  7.80239158E-13 -1.16950913E-13 
      77  9.12500000E+02  3.75000000E+01  1.61625845E-01  8.26740991E-01  9.88366836E-01  2.50000000E-02  7.40976403E-13  4.37586863E-14 
      78  9.37500000E+02  3.75000000E+01  8.80252354E-01  1.08114482E-01  9.88366836E-01  2.50000000E-02  1.07658220E-12  2.86568087E-13 
      79  9.62500000E+02  3.75000000E+01 -4.78569655E-01  1.46693649E+00  9.88366836E-01  2.50000000E-02  1.01324325E-13 -3.07431284E-13 
      80  9.87500000E+02  3.75000000E+01 -4.41479578E-01  1.42984641E+00  9.88366836E-01  2.50000000E-02  4.48984206E-14  3.52020110E-15 
      81  1.25000000E+01  6.25000000E+01 -2.22133777E-01  1.21050061E+00  9.88366836E-01  2.50000000E-02 -9.22289958E-14  2.00661454E-14 
      82  3.75000000E+01  6.25000000E+01 -9.22805164E-01  1.91117200E+00  9.88366836E-01  2.50000000E-02 -2.35023492E-13 -2.67522949E-13 
      83  6.25000000E+01  6.25000000E+01  8.67690341E-01  1.20676495E-01  9.88366836E-01  2.50000000E-02 -2.70240769E-12 -2.87827767E-13 
      84  8.75000000E+01  6.25000000E+01  5.96017279E-01  3.92349557E-01  9.88366836E-01  2.50000000E-02 -3.53305609E-12  1.02490603E-12 
      85  1.12500000E+02  6.25000000E+01  6.44978475E-01  3.43388361E-01  9.88366836E-01  2.50000000E-02 -1.92879542E-12 -3.72257014E-12 
      86  1.37500000E+02  6.25000000E+01  1.31753819E-01  8.56613016E-01  9.88366836E-01  2.50000000E-02  7.85576947E-13 -7.88473363E-12 
      87  1.62500000E+02  6.25000000E+01 -4.55407585E-01  1.44377442E+00  9.88366836E-01  2.50000000E-02  8.00118000E-13  1.93429670E-13 
      88  1.87500000E+02  6.25000000E+01 -5.64947174E-01  1.55331401E+00  9.88366836E-01  2.50000000E-02  7.13444381E-13  9.14009816E-13 
      89  2.12500000E+02  6.25000000E+01  3.81153889E-01  6.07212947E-01  9.88366836E-01  2.50000000E-02  9.39485310E-13  1.52362206E-12 
      90  2.37500000E+02  6.25000000E+01  8.45212841E-01  1.43153994E-01  9.88366836E-01  2.50000000E-02  1.47961462E-12  3.68955368E-13 
      91  2.62500000E+02  6.25000000E+01 -2.37008896E-01  1.22537573E+00  9.88366836E-01  2.50000000E-02 -5.14171915E-14  8.65042021E-13 
      92  2.87500000E+02  6.25000000E+01 -1.01501098E-01  1.08986793E+00  9.88366836E-01  2.50000000E-02 -3.75510365E-13  1.08846425E-12 
      93  3.12500000E+02  6.25000000E+01 -3.41664032E-01  1.33003087E+00  9.88366836E-01  2.50000000E-02 -1.53874753E-12  1.68428947E-12 
      94  3.37500000E+02  6.25000000E+01 -5.72670355E-01  1.56103719E+00  9.88366836E-01  2.50000000E-02 -1.91306579E-12 -2.11958634E-13 
      95  3.62500000E+02  6.25000000E+01 -7.40812302E-01  1.72917914E+00  9.88366836E-01  2.50000000E-02 -1.89917294E-12  1.38938852E-12 
      96  3.87500000E+02  6.25000000E+01  1.39403546E-01  8.48963290E-01  9.88366836E-01  2.50000000E-02 -2.51640097E-12  2.10702063E-14 
      97  4.12500000E+02  6.25000000E+01 -3.42636639E-01  1.33100347E+00  9.88366836E-01  2.50000000E-02 -2.32350339E-12 -4.01401466E-12 
      98  4.37500000E+02  6.25000000E+01 -8.09230132E-01  1.79759697E+00  9.88366836E-01  2.50000000E-02 -2.17300132E-12 -2.48553573E-12 
