 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
      68  6.87500000E+02  3.75000000E+01 -6.50455217E-01  1.63882329E+00  9.88368076E-01  2.50000000E-02 -2.28005333E-06  1.03920128E-06 
      69  7.12500000E+02  3.75000000E+01  2.69543656E-01  7.18824551E-01  9.88368207E-01  2.50000000E-02 -1.60900163E-06  1.12685163E-07 
      70  7.37500000E+02  3.75000000E+01 -3.48170109E-01  1.33653878E+00  9.88368674E-01  2.50000000E-02  1.16746346E-06 -3.03525356E-06 
      71  7.62500000E+02  3.75000000E+01 -8.77683744E-01  1.86605203E+00  9.88368281E-01  2.50000000E-02  1.78768830E-06  5.40202289E-07 
      72  7.87500000E+02  3.75000000E+01 -6.64986548E-01  1.65335490E+00  9.88368350E-01  2.50000000E-02  1.54763424E-06  2.32120394E-07 
      73  8.12500000E+02  3.75000000E+01 -8.83911452E-01  1.87227992E+00  9.88368467E-01  2.50000000E-02  1.69664679E-06 -2.19872878E-07 
      74  8.37500000E+02  3.75000000E+01 -4.05378689E-01  1.39374709E+00  9.88368397E-01  2.50000000E-02  1.96980009E-06  4.08035359E-07 
      75  8.62500000E+02  3.75000000E+01 -9.46473242E-01  1.93484169E+00  9.88368448E-01  2.50000000E-02  2.10402072E-06  2.39572684E-07 
      76  8.87500000E+02  3.75000000E+01 -4.51688796E-02  1.03353723E+00  9.88368346E-01  2.50000000E-02  2.01031833E-06  6.93492205E-07 
      77  9.12500000E+02  3.75000000E+01  1.61625845E-01  8.26742625E-01  9.88368470E-01  2.50000000E-02  1.72167171E-06  9.80428490E-07 
      78  9.37500000E+02  3.75000000E+01  8.80252354E-01  1.08116032E-01  9.88368386E-01  2.50000000E-02  1.57420336E-06  3.29557810E-07 
      79  9.62500000E+02  3.75000000E+01 -4.78569655E-01  1.46693802E+00  9.88368365E-01  2.50000000E-02  5.18899709E-08 -1.00044690E-07 
      80  9.87500000E+02  3.75000000E+01 -4.41479578E-01  1.42984795E+00  9.88368368E-01  2.50000000E-02  1.55297809E-08 -5.65199247E-08 
      81  1.25000000E+01  6.25000000E+01 -2.22133777E-01  1.21050000E+00  9.88366219E-01  2.50000000E-02 -6.89840375E-08 -6.01873457E-08 
      82  3.75000000E+01  6.25000000E+01 -9.22805164E-01  1.91117139E+00  9.88366230E-01  2.50000000E-02 -1.78302358E-07 -3.20760949E-07 
      83  6.25000000E+01  6.25000000E+01  8.67690341E-01  1.20675974E-01  9.88366315E-01  2.50000000E-02 -2.05563452E-06  1.95762702E-07 
      84  8.75000000E+01  6.25000000E+01  5.96017279E-01  3.92348990E-01  9.88366269E-01  2.50000000E-02 -3.64114245E-06  3.09007059E-06 
      85  1.12500000E+02  6.25000000E+01  6.44978475E-01  3.43387822E-01  9.88366296E-01  2.50000000E-02 -3.95694693E-06  1.71484491E-07 
      86  1.37500000E+02  6.25000000E+01  1.31753819E-01  8.56612847E-01  9.88366666E-01  2.50000000E-02 -2.18171237E-06  1.32802462E-06 
      87  1.62500000E+02  6.25000000E+01 -4.55407585E-01  1.44377408E+00  9.88366496E-01  2.50000000E-02 -1.81967143E-06  3.21824956E-06 
      88  1.87500000E+02  6.25000000E+01 -5.64947174E-01  1.55331355E+00  9.88366374E-01  2.50000000E-02 -2.23673379E-06  4.04349213E-06 
      89  2.12500000E+02  6.25000000E+01  3.81153889E-01  6.07212631E-01  9.88366520E-01  2.50000000E-02 -4.33178585E-06 -4.19107763E-07 
      90  2.37500000E+02  6.25000000E+01  8.45212841E-01  1.43154352E-01  9.88367193E-01  2.50000000E-02 -1.18659781E-05  3.21978912E-06 
      91  2.62500000E+02  6.25000000E+01 -2.37008896E-01  1.22537760E+00  9.88368701E-01  2.50000000E-02 -1.31917333E-06 -1.87083164E-05 
      92  2.87500000E+02  6.25000000E+01 -1.01501098E-01  1.08987013E+00  9.88369031E-01  2.50000000E-02  7.54970389E-07 -7.52793065E-06 
      93  3.12500000E+02  6.25000000E+01 -3.41664032E-01  1.33003217E+00  9.88368138E-01  2.50000000E-02  1.09643481E-06  1.69802118E-06 
      94  3.37500000E+02  6.25000000E+01 -5.72670355E-01  1.56103909E+00  9.88368734E-01  2.50000000E-02  9.01913037E-07 -4.04491084E-06 
      95  3.62500000E+02  6.25000000E+01 -7.40812302E-01  1.72918105E+00  9.88368745E-01  2.50000000E-02  1.96708987E-06 -3.57026717E-06 
      96  3.87500000E+02  6.25000000E+01  1.39403546E-01  8.48964939E-01  9.88368485E-01  2.50000000E-02  3.53842161E-06 -3.89703708E-07 
      97  4.12500000E+02  6.25000000E+01 -3.42636639E-01  1.33100516E+00  9.88368516E-01  2.50000000E-02  4.14318396E-06  9.76549885E-07 
      98  4.37500000E+02  6.25000000E+01 -8.09230132E-01  1.79759859E+00  9.88368461E-01  2.50000000E-02  4.20135371E-06  4.71983885E-06 
      99  4.62500000E+02  6.25000000E+01  8.36185138E-01  1.52183858E-01  9.88368997E-01  2.50000000E-02  8.38201271E-07 -2.13263041E-06 
     100  4.87500000E+02  6.25000000E+01 -7.66004509E-01  1.75437376E+00  9.88369248E-01  2.50000000E-02  3.46852921E-06 -1.21085195E-05 
     101  5.12500000E+02  6.25000000E+01 -8.56193929E-01  1.84456344E+00  9.88369512E-01  2.50000000E-02  4.13947541E-06 -5.99152370E-06 
     102  5.37500000E+02  6.25000000E+01  7.96759260E-01  1.91607335E-01  9.88366595E-01  2.50000000E-02  1.67529728E-05  3.98030264E-05 
     103  5.62500000E+02  6.25000000E+01  9.10743014E-01  7.76253128E-02  9.88368326E-01  2.50000000E-02  4.39941772E-07  3.91176978E-06 
     104  5.87500000E+02  6.25000000E+01  4.33256348E-01  5.55111804E-01  9.88368152E-01  2.50000000E-02  1.28411130E-06 -7.46221785E-07 
     105  6.12500000E+02  6.25000000E+01 -2.25020687E-01  1.21338822E+00  9.88367535E-01  2.50000000E-02 -1.44859957E-06  6.40384955E-06 
     106  6.37500000E+02  6.25000000E+01  4.75225974E-01  5.13141993E-01  9.88367967E-01  2.50000000E-02 -5.59628274E-06  8.66507746E-06 
     107  6.62500000E+02  6.25000000E+01  4.58719477E-01  5.29648687E-01  9.88368164E-01  2.50000000E-02 -6.90016264E-06 -8.14940579E-06 
     108  6.87500000E+02  6.25000000E+01  9.60961101E-01  2.74084250E-02  9.88369526E-01  2.50000000E-02 -5.69917089E-06 -5.61515653E-05 
     109  7.12500000E+02  6.25000000E+01 -4.20474387E-01  1.40884280E+00  9.88368411E-01  2.50000000E-02 -2.30529114E-07 -2.52094752E-07 
     110  7.37500000E+02  6.25000000E+01 -3.14378457E-01  1.30274722E+00  9.88368764E-01  2.50000000E-02  6.94362925E-07 -5.19790582E-06 
     111  7.62500000E+02  6.25000000E+01 -1.11089879E-01  1.09945822E+00  9.88368343E-01  2.50000000E-02  1.86318916E-06  6.49540323E-07 
     112  7.87500000E+02  6.25000000E+01 -7.61144773E-01  1.74951313E+00  9.88368361E-01  2.50000000E-02  1.79109101E-06  2.91337960E-07 
     113  8.12500000E+02  6.25000000E+01 -3.67239481E-02  1.02509239E+00  9.88368443E-01  2.50000000E-02  1.95729459E-06 -7.35682171E-07 
     114  8.37500000E+02  6.25000000E+01 -9.98738683E-01  1.98710697E+00  9.88368288E-01  2.50000000E-02  1.84085832E-06  2.36923743E-08 
     115  8.62500000E+02  6.25000000E+01 -8.80356106E-01  1.86872455E+00  9.88368443E-01  2.50000000E-02  1.90175703E-06  2.52484315E-07 
     116  8.87500000E+02  6.25000000E+01 -6.14383111E-01  1.60275149E+00  9.88368378E-01  2.50000000E-02  2.19868131E-06  1.67280175E-06 
     117  9.12500000E+02  6.25000000E+01  3.58235454E-01  6.30132874E-01  9.88368328E-01  2.50000000E-02  2.27302322E-06  2.67916765E-06 
     118  9.37500000E+02  6.25000000E+01  6.03469246E-01  3.84899087E-01  9.88368333E-01  2.50000000E-02  1.72058775E-06  7.98704977E-07 
