# time h_mean u_mean v_mean w_mean
  4.131142207377832E+02  4.621763873783751E+00  1.236611632948595E+00  6.652383975022521E-18  1.000000000000000E+00
  4.140732610862142E+02  4.622009365117002E+00  1.236680255740876E+00 -1.641636726193902E-18  1.000000000000000E+00
  4.150322649598830E+02  4.622253244412875E+00  1.236748361253653E+00 -2.086751950110064E-17  1.000000000000000E+00
  4.164707029308217E+02  4.622616063557913E+00  1.236849560128960E+00 -1.930888285164550E-17  1.000000000000000E+00
  4.174296167156408E+02  4.622855958203822E+00  1.236916393358099E+00  1.972818181851723E-17  1.000000000000000E+00
  4.183884948990911E+02  4.623094277008747E+00  1.236982725888576E+00  8.020643054335839E-18  1.000000000000000E+00
  4.193473377264211E+02  4.623331030179097E+00  1.237048562329858E+00  7.440363645340748E-18  1.000000000000000E+00
  4.203061454410038E+02  4.623566227861417E+00  1.237113907236090E+00 -1.183585695021054E-17  1.000000000000000E+00
  4.212649182843546E+02  4.623799880142569E+00  1.237178765106890E+00 -2.526746958960692E-17  1.000000000000000E+00
  4.222236564961482E+02  4.624031997049912E+00  1.237243140388155E+00 -6.280931622721071E-17  1.000000000000000E+00
  4.231823603142358E+02  4.624262588551499E+00  1.237307037472842E+00 -7.977673813983366E-17  1.000000000000000E+00
  4.241410299746617E+02  4.624491664556264E+00  1.237370460701734E+00 -6.358259710308291E-17  1.000000000000000E+00
  4.250996657116802E+02  4.624719234914219E+00  1.237433414364204E+00 -6.702691556748671E-17  1.000000000000000E+00
  4.260582677577717E+02  4.624945309416658E+00  1.237495902698961E+00 -5.940354938864189E-17  1.000000000000000E+00
  4.270168363436592E+02  4.625169897796356E+00  1.237557929894782E+00 -5.746181193724245E-17  1.000000000000000E+00
  4.284546269850323E+02  4.625504015032765E+00  1.237650115095045E+00 -4.118473139605516E-17  1.000000000000000E+00
  4.294131129184327E+02  4.625724930304359E+00  1.237711007448267E+00 -2.889148156159167E-17  1.000000000000000E+00
  4.303715661855484E+02  4.625944393060117E+00  1.237771452940425E+00 -1.406212940790823E-17  1.000000000000000E+00
  4.313299870093892E+02  4.626162412772088E+00  1.237831455544402E+00 -2.748610167996271E-17  1.000000000000000E+00
  4.322883756112932E+02  4.626378998854980E+00  1.237891019186992E+00 -3.201451208588955E-17  1.000000000000000E+00
  4.332467322109418E+02  4.626594160666377E+00  1.237950147749566E+00  1.896232394626005E-18  1.000000000000000E+00
  4.342050570263748E+02  4.626807907506967E+00  1.238008845068716E+00 -9.103967795387695E-18  1.000000000000000E+00
  4.351633502740045E+02  4.627020248620769E+00  1.238067114936906E+00  4.660661456221515E-18  1.000000000000000E+00
  4.361216121686313E+02  4.627231193195361E+00  1.238124961103100E+00 -3.850232270588779E-18  1.000000000000000E+00
  4.370798429234567E+02  4.627440750362115E+00  1.238182387273382E+00  4.632781120006378E-18  1.000000000000000E+00
  4.380380427500988E+02  4.627648929196423E+00  1.238239397111571E+00 -8.979240290353838E-18  1.000000000000000E+00
  4.394752849587717E+02  4.627958632789865E+00  1.238324139158404E+00  1.553208519118194E-17  1.000000000000000E+00
  4.404334083805142E+02  4.628163405132709E+00  1.238380123923617E+00  2.044402145087756E-17  1.000000000000000E+00
  4.413915016024625E+02  4.628366830469602E+00  1.238435704855878E+00  6.009184359697867E-18  1.000000000000000E+00
  4.423495648292777E+02  4.628568917626993E+00  1.238490885436130E+00  6.128435241793018E-18  1.000000000000000E+00
  4.433075982641120E+02  4.628769675376669E+00  1.238545669106251E+00 -1.334097931960020E-17  1.000000000000000E+00
  4.442656021086219E+02  4.628969112436007E+00  1.238600059269602E+00 -1.259156097972326E-17  1.000000000000000E+00
  4.452235765629815E+02  4.629167237468213E+00  1.238654059291570E+00  6.992212285071352E-18  1.000000000000000E+00
  4.461815218258949E+02  4.629364059082572E+00  1.238707672500105E+00 -6.768276298936036E-18  1.000000000000000E+00
